City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Albany,US,42.6001,-73.9662,44.01,51,54,14.0,broken clouds
80,Busselton,AU,-33.65,115.3333,77.0,48,99,4.0,overcast clouds
81,Constantine,DZ,36.365,6.6147,53.6,71,0,5.75,clear sky
82,Paranaiba,BR,-19.6772,-51.1908,67.42,55,52,6.04,broken clouds
83,Bredasdorp,ZA,-34.5322,20.0403,51.8,93,93,2.3,overcast clouds
84,Cafe,PH,15.3369,120.7062,87.8,58,75,9.22,broken clouds
85,Ancud,CL,-41.8697,-73.8203,52.0,100,90,5.75,fog
86,Georgetown,MY,5.4112,100.3354,87.8,70,40,2.3,scattered clouds
87,Iqaluit,CA,63.7506,-68.5145,32.0,93,90,3.44,light snow
88,Pismo Beach,US,35.1428,-120.6413,51.8,87,90,4.61,overcast clouds
89,Egvekinot,RU,66.3167,-179.1667,29.05,89,15,0.43,few clouds
90,Ostrovnoy,RU,68.0531,39.5131,31.37,94,100,22.91,light snow
91,Saskylakh,RU,71.9167,114.0833,14.68,90,100,21.54,overcast clouds
92,Esperance,AU,-33.8667,121.9,84.2,21,36,14.97,scattered clouds
93,Yulara,AU,-25.2406,130.9889,75.2,23,0,14.97,clear sky
94,Hvolsvollur,IS,63.7533,-20.2243,40.08,79,3,5.48,clear sky
95,Gat,IL,31.61,34.7642,66.99,100,17,13.62,few clouds
96,Kozulka,UA,50.0351,23.797,30.2,93,8,2.24,clear sky
97,Victoria,HK,22.2855,114.1577,75.0,78,100,3.0,overcast clouds
98,Puerto Ayora,EC,-0.7393,-90.3518,74.73,87,4,6.85,clear sky
99,Humaita,BR,-7.5061,-63.0208,74.19,97,89,2.53,overcast clouds
100,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.65,98,99,1.28,overcast clouds
101,Inhambupe,BR,-11.7844,-38.3531,70.88,97,96,4.07,overcast clouds
102,Fengcheng,CN,40.4536,124.0717,68.18,26,100,11.59,overcast clouds
103,Tygda,RU,53.1167,126.3333,62.42,23,100,8.66,overcast clouds
104,Morondava,MG,-20.2833,44.2833,75.11,75,100,5.53,overcast clouds
105,Cam Ranh,VN,11.9214,109.1591,87.8,66,20,8.05,few clouds
106,Longyearbyen,SJ,78.2186,15.6401,14.0,67,20,1.14,few clouds
107,Yellowknife,CA,62.456,-114.3525,8.6,78,90,12.66,light snow
108,Torbay,CA,47.6666,-52.7314,39.99,70,1,5.75,clear sky
109,Anastacio,BR,-20.4836,-55.8069,66.9,96,99,4.32,overcast clouds
110,New Bern,US,35.1085,-77.0441,54.0,94,75,3.65,broken clouds
111,Arman,RU,59.7,150.1667,26.24,63,11,4.16,few clouds
112,Broadford,AU,-37.2,145.0667,62.01,70,10,7.0,clear sky
113,Iquitos,PE,-3.7481,-73.2472,78.8,89,0,4.61,clear sky
114,Rameswaram,IN,9.2833,79.3,84.29,71,19,9.51,few clouds
115,Katol,IN,21.2667,78.5833,93.2,12,40,4.61,haze
116,Jalu,LY,29.0331,21.5482,59.02,64,0,7.74,clear sky
117,Vaini,TO,-21.2,-175.2,82.4,89,75,4.61,light rain
118,Sabya,SA,17.1495,42.6254,87.8,62,40,3.51,scattered clouds
119,Cape Town,ZA,-33.9258,18.4232,62.01,88,75,12.66,broken clouds
120,Atuona,PF,-9.8,-139.0333,79.84,77,71,17.81,light rain
121,Omsukchan,RU,62.5333,155.8,19.72,65,100,3.06,overcast clouds
122,Khandbari,NP,27.3747,87.2039,88.61,12,4,2.66,clear sky
123,San Cristobal,VE,7.7669,-72.225,69.04,74,61,1.86,broken clouds
124,Sangar,RU,63.9242,127.4739,30.94,97,100,13.47,light snow
125,Roald,NO,62.5833,6.1333,35.6,87,10,17.27,clear sky
126,Margate,GB,51.3813,1.3862,43.0,68,11,3.0,few clouds
127,Port Hedland,AU,-20.3167,118.5667,91.4,12,0,14.97,clear sky
128,Vila Velha,BR,-20.3297,-40.2925,77.0,83,0,2.3,clear sky
129,Ambilobe,MG,-13.2,49.05,73.18,82,91,3.11,overcast clouds
130,Nouakchott,MR,18.0858,-15.9785,68.0,68,0,13.8,clear sky
131,Yidu,CN,24.1614,115.1328,67.69,87,100,2.15,overcast clouds
132,Matay,EG,28.419,30.7792,62.89,73,0,11.54,clear sky
133,Skjervoy,NO,70.0311,20.9714,32.0,86,75,5.75,broken clouds
134,Pittsfield,US,42.4501,-73.2454,42.01,60,1,19.57,clear sky
135,Kaeo,NZ,-35.1,173.7833,64.99,71,16,5.99,few clouds
136,Kambove,CD,-10.8764,26.5969,57.85,88,66,2.06,broken clouds
137,Kodiak,US,57.79,-152.4072,42.8,81,1,9.22,clear sky
138,Marsaxlokk,MT,35.8419,14.5431,54.0,94,0,5.75,clear sky
139,Ipixuna,BR,-1.7625,-48.8043,77.0,94,75,2.3,light rain
140,Bilma,NE,18.6853,12.9164,84.6,13,5,8.1,clear sky
141,Marica,BR,-22.9194,-42.8186,73.0,88,0,2.3,clear sky
142,Chokurdakh,RU,70.6333,147.9167,30.9,98,100,10.63,light snow
143,Tocopilla,CL,-22.092,-70.1979,64.98,68,9,1.79,clear sky
144,Nioro,GM,13.35,-15.75,74.34,38,11,8.1,few clouds
145,Baraboo,US,43.4711,-89.7443,41.0,60,90,12.66,overcast clouds
146,Portland,US,45.5234,-122.6762,53.6,66,75,4.61,broken clouds
147,East London,ZA,-33.0153,27.9116,66.2,52,0,5.75,clear sky
148,Brewster,US,41.3973,-73.6171,53.6,50,40,5.75,scattered clouds
149,Norman Wells,CA,65.282,-126.8329,28.4,46,40,6.91,scattered clouds
150,Upernavik,GL,72.7868,-56.1549,26.85,75,40,4.72,scattered clouds
151,Beroroha,MG,-21.6667,45.1667,70.83,78,40,4.12,scattered clouds
152,Marsa Matruh,EG,31.3525,27.2453,66.2,68,40,12.66,scattered clouds
153,Tres Lagoas,BR,-20.7511,-51.6783,69.82,59,98,5.84,overcast clouds
154,Tuatapere,NZ,-46.1333,167.6833,46.99,71,93,17.0,overcast clouds
155,Clyde River,CA,70.4692,-68.5914,23.0,93,90,10.36,overcast clouds
156,Severo-Kurilsk,RU,50.6789,156.125,31.86,97,100,15.05,snow
157,Marienburg,PL,54.0359,19.0266,30.99,85,88,5.77,overcast clouds
158,Polis,CY,35.0367,32.4264,57.2,67,40,5.75,scattered clouds
159,Berlevag,NO,70.8578,29.0864,33.8,86,75,8.05,broken clouds
160,Shenjiamen,CN,29.9576,122.298,63.37,77,8,8.37,clear sky
161,Axim,GH,4.8699,-2.2405,79.92,84,100,5.3,overcast clouds
162,Wanning,CN,18.8003,110.3967,84.31,69,99,11.65,light rain
163,Natal,BR,-5.795,-35.2094,78.8,83,20,6.91,few clouds
