City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Ugoofaaru,MV,83.55,clear sky,5.6667,73.0,Ungoofaaru Inn
295,Kuching,MY,89.6,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
297,Honiara,SB,84.72,broken clouds,-9.4333,159.95,Heritage Park Hotel
298,Dali,CN,78.31,clear sky,25.7,100.1833,Dali Travelling With Hostel
305,Cockburn Town,TC,78.17,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
312,Bonthe,SL,80.51,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
318,Sungaipenuh,ID,79.21,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
319,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Tanna Lodge
325,High Rock,BS,80.6,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
327,Abu Zabad,SD,78.73,overcast clouds,12.35,29.25,حامد محمد نور
332,Bengkulu,ID,85.05,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
338,Maragogi,BR,77.59,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
342,Mount Isa,AU,89.6,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
347,Gushikawa,JP,78.8,few clouds,26.3544,127.8686,Kirari Guest House
348,Iracoubo,GF,76.62,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
350,Haimen,CN,80.6,clear sky,23.1935,116.6142,Jinghao Business Hotel
351,Sinnamary,GF,77.09,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
354,Acarau,BR,76.91,clear sky,-2.8856,-40.12,castelo pizzaria
355,Neiafu,TO,82.4,few clouds,-18.65,-173.9833,Mystic Sands
365,Port Moresby,PG,89.6,haze,-9.4431,147.1797,Lamana Hotel
369,Samarai,PG,85.98,broken clouds,-10.6167,150.6667,Nuli Sapi
370,Lamu,KE,81.23,broken clouds,-2.2717,40.902,Lamu House
379,Puerto Escondido,MX,82.4,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
380,Beruwala,LK,84.09,overcast clouds,6.4788,79.9828,The Palms Hotel
381,Alyangula,AU,77.0,light rain,-13.8483,136.4192,Groote Eylandt Lodge
387,Marawi,PH,82.99,overcast clouds,7.9986,124.2928,Derogongan Residence
389,Bambanglipuro,ID,85.93,clear sky,-7.95,110.2833,Puri Brata
392,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
400,Sorong,ID,85.93,scattered clouds,-0.8833,131.25,waigo splash hotel
405,Koudougou,BF,85.68,broken clouds,12.25,-2.3667,VAREK OCADES
406,Bowen,AU,77.0,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
407,Lazaro Cardenas,MX,76.23,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
409,San Patricio,US,75.2,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
420,Poum,NC,77.4,scattered clouds,-20.2333,164.0167,Gîte kajeon
423,Mana,GF,76.26,overcast clouds,5.6592,-53.7767,LE SAMANA
426,Muli,MV,82.96,broken clouds,2.9167,73.5667,Medhufushi Island Resort
430,Santarem,BR,78.8,broken clouds,-2.4431,-54.7083,Ecotur Lodge
433,Pontianak,ID,87.8,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
436,Ardakan,IR,77.0,scattered clouds,32.31,54.0175,Ardakan Hotel
439,Dawei,MM,88.16,overcast clouds,14.0833,98.2,Hotel Dawei
444,Pandan,PH,81.73,broken clouds,14.0453,124.1694,Bonifacio Lodge
445,Itarema,BR,76.59,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
446,Mumford,GH,80.13,light rain,5.2618,-0.759,Spanish Villa
447,Dong Hoi,VN,86.32,broken clouds,17.4833,106.6,Nam Long Hotel
457,Bintulu,MY,89.6,scattered clouds,3.1667,113.0333,900 Boutique INN
459,Pasni,PK,82.11,overcast clouds,25.2631,63.471000000000004,Kashmiri Hotal
468,Nushki,PK,81.64,clear sky,29.5542,66.0215,Jahangir Hotel Noshki
473,West Bay,KY,80.6,clear sky,19.3667,-81.4167,Calypso Cove
474,Dzaoudzi,YT,78.8,few clouds,-12.7887,45.2699,Le Rocher
475,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
482,Bacolod,PH,86.36,broken clouds,10.6667,122.95,Planta Hotel & Residences
486,Qui Nhon,VN,85.15,scattered clouds,13.7667,109.2333,Hoang Yen Canary Hotel
490,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
496,Kudahuvadhoo,MV,82.85,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
497,Bajil,YE,82.6,overcast clouds,15.0584,43.2851,فندق حضرموت
499,Wanlaweyn,SO,80.83,broken clouds,2.6185,44.8938,GAASHAAN HOME
500,Dicabisagan,PH,79.45,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
