City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atuona,PF,2021-04-26 00:09:38,-9.8,-139.0333,80.08,73,52,15.3
68,Cherskiy,RU,2021-04-26 00:07:47,68.75,161.3,17.42,83,95,6.22
69,Cape Town,ZA,2021-04-26 00:10:25,-33.9258,18.4232,63.0,94,75,4.61
70,Airai,TL,2021-04-26 00:11:44,-8.9266,125.4092,65.23,56,18,2.62
71,Kita,ML,2021-04-26 00:12:23,13.0349,-9.4895,91.33,26,72,3.76
72,Punta Arenas,CL,2021-04-26 00:08:02,-53.15,-70.9167,48.2,87,75,10.36
73,Hobart,AU,2021-04-26 00:12:24,-42.8794,147.3294,63.0,48,40,19.57
74,Grindavik,IS,2021-04-26 00:08:44,63.8424,-22.4338,39.2,93,0,13.8
75,Dunedin,NZ,2021-04-26 00:12:24,-45.8742,170.5036,57.0,41,67,13.0
76,Cabo San Lucas,MX,2021-04-26 00:12:25,22.8909,-109.9124,84.0,18,90,3.44
77,New Norfolk,AU,2021-04-26 00:08:42,-42.7826,147.0587,63.0,75,98,3.0
78,Karaidel,RU,2021-04-26 00:12:25,55.8337,56.9069,35.62,80,79,11.81
79,Coos Bay,US,2021-04-26 00:12:26,43.3665,-124.2179,52.0,76,90,14.97
80,Chokurdakh,RU,2021-04-26 00:09:30,70.6333,147.9167,23.97,94,100,13.73
81,Izazi,TZ,2021-04-26 00:12:27,-7.2,35.7333,68.54,86,78,1.5
82,Whitehorse,CA,2021-04-26 00:09:18,60.7161,-135.0538,57.2,19,1,14.97
83,Bowen,AU,2021-04-26 00:12:28,-20.0167,148.2333,75.2,73,90,11.5
84,Ipameri,BR,2021-04-26 00:12:28,-17.7219,-48.1597,69.1,62,75,0.96
85,Port Elizabeth,ZA,2021-04-26 00:12:29,-33.918,25.5701,59.0,88,0,8.05
86,Hermanus,ZA,2021-04-26 00:09:51,-34.4187,19.2345,61.0,91,87,1.01
87,Villamontes,BO,2021-04-26 00:12:30,-21.25,-63.5,62.74,77,68,3.18
88,Presidencia Roque Saenz Pena,AR,2021-04-26 00:12:30,-26.7852,-60.4388,63.0,78,0,1.01
